,numbers_of_neurons_on_first_convolutional_layer,number_of_neurons_on_second_convolutional_layer,number_of_neurons_on_hidden_layer,number_of_neurons_on_exit_layer,activation_function_of_first_convolutional_layer,activation_function_of_second_convolutional_layer,activation_function_of_first_hidden_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,training_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss
79,9,9,64,10,tanh,tanh,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9773333072662354,0.0545341894030571
7,9,9,64,10,relu,sigmoid,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9771666526794434,0.055956508964300156
89,9,9,64,10,tanh,tanh,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9769999980926514,0.08279591053724289
25,9,9,64,10,relu,tanh,relu,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9768333435058594,0.08396857976913452
19,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9768333435058594,0.0910918265581131
69,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9766666889190674,0.056804921478033066
71,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9763333201408386,0.06189566105604172
33,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9761666655540466,0.09316257387399673
5,9,9,64,10,relu,sigmoid,relu,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9760000109672546,0.057255376130342484
49,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9753333330154419,0.08706526458263397
32,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9753333330154419,0.12318523973226547
93,9,9,64,10,tanh,tanh,tanh,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9751666784286499,0.053891509771347046
52,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9746666550636292,0.06104893982410431
83,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9745000004768372,0.11373873054981232
4,9,9,64,10,relu,sigmoid,relu,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9738333225250244,0.0706544816493988
77,9,9,64,10,tanh,tanh,relu,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9729999899864197,0.05753915011882782
81,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9729999899864197,0.09633758664131165
53,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9726666808128357,0.06212564557790756
35,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9725000262260437,0.118666872382164
21,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9723333120346069,0.06214689463376999
