,numbers_of_neurons_on_first_layer,number_of_neurons_on_second_layer,number_of_neurons_on_third_layer,number_of_neurons_on_exit_layer,activation_function_of_first_layer,activation_function_of_second_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,test_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss,metric_name
29,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,adam,mean_absolute_error,0.1,16,2048,True,./RN/,0.012300046160817146,0.03327478840947151,mean_absolute_error
30,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,rmsprop,accuracy,0.1,16,2048,True,./RN/,0.9334999918937683,0.04196354001760483,accuracy
31,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,rmsprop,mean_squared_error,0.1,16,2048,True,./RN/,0.009483993984758854,0.03810633346438408,mean_squared_error
32,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,rmsprop,mean_absolute_error,0.1,16,2048,True,./RN/,0.01662377081811428,0.041887618601322174,mean_absolute_error
33,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,adagrad,accuracy,0.1,16,2048,True,./RN/,0.09533333033323288,0.33395642042160034,accuracy
34,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,adagrad,mean_squared_error,0.1,16,2048,True,./RN/,0.09009353816509247,0.3323996961116791,mean_squared_error
35,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,binary_crossentropy,adagrad,mean_absolute_error,0.1,16,2048,True,./RN/,0.17995217442512512,0.32998934388160706,mean_absolute_error
36,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,sgd,accuracy,0.1,16,2048,True,./RN/,0.10899999737739563,2.2976598739624023,accuracy
37,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,sgd,mean_squared_error,0.1,16,2048,True,./RN/,0.08992405235767365,2.2988626956939697,mean_squared_error
38,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,sgd,mean_absolute_error,0.1,16,2048,True,./RN/,0.17986474931240082,2.2970831394195557,mean_absolute_error
39,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adam,accuracy,0.1,16,2048,True,./RN/,0.9555000066757202,0.14788855612277985,accuracy
40,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adam,mean_squared_error,0.1,16,2048,True,./RN/,0.006598604843020439,0.14383812248706818,mean_squared_error
41,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adam,mean_absolute_error,0.1,16,2048,True,./RN/,0.014799569733440876,0.1440207064151764,mean_absolute_error
42,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy,0.1,16,2048,True,./RN/,0.9355000257492065,0.21443577110767365,accuracy
43,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,rmsprop,mean_squared_error,0.1,16,2048,True,./RN/,0.010426403023302555,0.22876375913619995,mean_squared_error
44,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,rmsprop,mean_absolute_error,0.1,16,2048,True,./RN/,0.021696319803595543,0.21420302987098694,mean_absolute_error
45,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adagrad,accuracy,0.1,16,2048,True,./RN/,0.10899999737739563,2.3002851009368896,accuracy
